ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB),A/B2,Dwell A2,Dwell B2,UD(AB2),DU(AB2),UU(AB2),DD(AB2),A/B3,Dwell A3,Dwell B3,UD(AB3),DU(AB3),UU(AB3),DD(AB3)
76383, [a|c],320000.0,1200128.0,1770112.0,3290240.0,2970240.0,2090112.0, [e|a],1536000.0,1686016.0,1092992.0,4315008.0,2779008.0,2628992.0, [h|e],460032.0,29952.0,840064.0,1330048.0,870016.0,1300096.0
76383, [a|c],1257984.0,1294720.0,1876224.0,4428928.0,3170944.0,3134208.0, [e|a],553216.0,160128.0,244864.0,958208.0,404992.0,798080.0, [h|e],359936.0,19968.0,990080.0,1369984.0,1010048.0,1350016.0
76383, [a|c],340096.0,750080.0,1849984.0,2940160.0,2600064.0,2190080.0, [e|a],49920.0,300032.0,1075072.0,1425024.0,1375104.0,1124992.0, [h|e],875136.0,804864.0,559232.0,2239232.0,1364096.0,1434368.0
76383, [a|c],1090048.0,530048.0,1220096.0,2840192.0,1750144.0,2310144.0, [e|a],160000.0,240256.0,719872.0,1120128.0,960128.0,879872.0, [h|e],720896.0,1361280.0,399744.0,2481920.0,1761024.0,1120640.0
76383, [a|c],1666048.0,1188096.0,908032.0,3762176.0,2096128.0,2574080.0, [e|a],460032.0,210048.0,649984.0,1320064.0,860032.0,1110016.0, [h|e],310016.0,550016.0,800000.0,1660032.0,1350016.0,1110016.0
76383, [a|c],540032.0,1270016.0,1560064.0,3370112.0,2830080.0,2100096.0, [e|a],780032.0,29952.0,420096.0,1230080.0,450048.0,1200128.0, [h|e],550016.0,860032.0,1610112.0,3020160.0,2470144.0,2160128.0
76383, [a|c],1250560.0,625024.0,2031232.0,3906816.0,2656256.0,3281792.0, [e|a],976000.0,552064.0,1830016.0,3358080.0,2382080.0,2806016.0, [h|e],640512.0,1360896.0,2551808.0,4553216.0,3912704.0,3192320.0
76383, [a|c],311936.0,1406208.0,3474944.0,5193088.0,4881152.0,3786880.0, [e|a],960256.0,319744.0,2875264.0,4155264.0,3195008.0,3835520.0, [h|e],960640.0,240128.0,1441024.0,2641792.0,1681152.0,2401664.0
76383, [a|c],1410048.0,1190016.0,740096.0,3340160.0,1930112.0,2150144.0, [e|a],1560064.0,560128.0,393114240.0,395234432.0,393674368.0,394674304.0, [h|e],1600640.0,720512.0,1831168.0,4152320.0,2551680.0,3431808.0
76383, [a|c],1320064.0,1090048.0,600064.0,3010176.0,1690112.0,1920128.0, [e|a],1120128.0,980096.0,960000.0,3060224.0,1940096.0,2080128.0, [h|e],1040768.0,1020672.0,20096.0,2081536.0,1040768.0,1060864.0
76383, [a|c],1413120.0,852736.0,2354048.0,4619904.0,3206784.0,3767168.0, [e|a],210048.0,30080.0,979968.0,1220096.0,1010048.0,1190016.0, [h|e],722048.0,155904.0,548096.0,1426048.0,704000.0,1270144.0
76383, [a|c],2190080.0,2060160.0,300032.0,4550272.0,2360192.0,2490112.0, [e|a],329984.0,320000.0,2640128.0,3290112.0,2960128.0,2970112.0, [h|e],550016.0,659968.0,600064.0,1810048.0,1260032.0,1150080.0
76383, [a|c],1410048.0,1464064.0,210048.0,3084160.0,1674112.0,1620096.0, [e|a],804224.0,962688.0,556928.0,2323840.0,1519616.0,1361152.0, [h|e],880640.0,1190784.0,720512.0,2791936.0,1911296.0,1601152.0
76383, [a|c],220032.0,1356032.0,1718016.0,3294080.0,3074048.0,1938048.0, [e|a],550016.0,9984.0,2880128.0,3440128.0,2890112.0,3430144.0, [h|e],964224.0,1042432.0,720512.0,2727168.0,1762944.0,1684736.0
76383, [a|c],1190016.0,850048.0,1010048.0,3050112.0,1860096.0,2200064.0, [e|a],1090048.0,2750208.0,7580416.0,11420672.0,10330624.0,8670464.0, [h|e],953856.0,1353216.0,649984.0,2957056.0,2003200.0,1603840.0
76383, [a|c],560000.0,1640192.0,1150080.0,3350272.0,2790272.0,1710080.0, [e|a],1010048.0,2190208.0,6150272.0,9350528.0,8340480.0,7160320.0, [h|e],956672.0,949376.0,10240.0,1916288.0,959616.0,966912.0
76383, [a|c],461952.0,1200128.0,2169984.0,3832064.0,3370112.0,2631936.0, [e|a],1200000.0,3840256.0,4360320.0,9400576.0,8200576.0,5560320.0, [h|e],220032.0,220032.0,829952.0,1270016.0,1049984.0,1049984.0
76383, [a|c],1100032.0,1350144.0,1134080.0,3584256.0,2484224.0,2234112.0, [e|a],320128.0,320128.0,470400.0,1110656.0,790528.0,790528.0, [h|e],406016.0,867968.0,481024.0,1755008.0,1348992.0,887040.0
76383, [a|c],1367936.0,848000.0,956032.0,3171968.0,1804032.0,2323968.0, [e|a],860032.0,440064.0,320000.0,1620096.0,760064.0,1180032.0, [h|e],1092096.0,1255936.0,70016.0,2418048.0,1325952.0,1162112.0
76383, [a|c],987136.0,1093248.0,1562496.0,3642880.0,2655744.0,2549632.0, [e|a],1190912.0,1271424.0,9984.0,2472320.0,1281408.0,1200896.0, [h|e],759936.0,29952.0,510080.0,1299968.0,540032.0,1270016.0
